id,area_px,perimetro_px,excentricidad,solidez,diametro_equiv,intensidad_media,intensidad_min,intensidad_max,centroide_x,centroide_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
39,1579.0,149.53910524340094,0.6220172757033777,0.9699017199017199,44.83798881681494,59.37112096263458,1.0,245.0,250.897403419886,216.5332488917036,226,197,277,238
40,1456.0,143.88225099390854,0.5973378088418981,0.9680851063829787,43.056204862184465,57.87637362637363,0.0,251.0,246.1256868131868,277.5309065934066,222,258,270,298
41,1368.0,137.0538238691624,0.5550761714723647,0.9757489300998573,41.73477802981229,53.22149122807018,4.0,223.0,327.52412280701753,389.5387426900585,306,369,350,409
42,1260.0,134.12489168102786,0.6727632595092328,0.9714726291441789,40.05348706874727,61.41428571428571,4.0,203.0,251.0142857142857,134.57698412698412,232,114,273,157
43,1587.0,148.36753236814712,0.5582076792964181,0.9772167487684729,44.951431095068635,59.91934467548834,7.0,226.0,130.9892879647133,308.04158790170135,111,284,154,333
44,1172.0,126.22539674441617,0.4604911916393206,0.9742310889443059,38.62948027646257,59.377133105802045,1.0,224.0,330.4564846416382,107.3037542662116,312,88,351,127
45,1168.0,127.39696961966999,0.5839363455276588,0.9757727652464494,38.563503319209346,58.56421232876713,4.0,225.0,259.4306506849315,312.5933219178082,242,292,279,333
46,1637.0,151.1959594928933,0.5764657346520051,0.9761478831246273,45.654059345598846,55.64386072083079,2.0,206.0,140.02382406841784,125.90287110568113,120,100,162,152
47,1314.0,133.63961030678928,0.5451260702118065,0.9784065524944154,40.90277205498429,52.054794520547944,1.0,164.0,441.23820395738204,175.1826484018265,423,154,461,198
48,1342.0,140.36753236814712,0.7597114312600004,0.9731689630166788,41.3362730423848,60.891207153502236,3.0,196.0,384.93517138599105,287.6549925484352,362,268,409,309
49,881.0,108.32590180780451,0.2554827560729228,0.9724061810154525,33.49214891450948,52.501702610669696,3.0,178.0,406.9988649262202,93.99545970488082,391,78,425,111
50,939.0,112.91168824543142,0.5909057946589662,0.978125,34.57704343211429,67.67199148029819,1.0,209.0,406.8168264110756,157.22257720979766,391,140,425,175
51,1326.0,137.88225099390854,0.6310509010958398,0.965768390386016,41.08911822269767,57.10935143288084,1.0,214.0,137.8733031674208,265.5218702865762,119,243,158,289
52,3090.0,207.1370849898476,0.46983158149286636,0.9825119236883942,62.72407985161403,53.1663430420712,7.0,192.0,279.4071197411003,169.38187702265373,247,138,312,202
53,1014.0,117.63961030678928,0.49139070706524274,0.975,35.93139154501889,55.11045364891519,2.0,224.0,295.56508875739644,213.39250493096648,277,197,316,232
54,1753.0,156.95331880577402,0.6473976493999959,0.9760579064587973,47.24393000080264,56.612664004563605,2.0,250.0,94.60410724472334,193.8910439247005,74,168,116,222
55,1334.0,137.53910524340094,0.6979136095761092,0.9772893772893773,41.21288090726863,57.83658170914543,2.0,247.0,273.4392803598201,246.26461769115443,251,226,296,267
56,1886.0,162.8528137423857,0.5533951178725154,0.9772020725388602,49.00336500048254,53.38123011664899,4.0,219.0,293.0015906680806,281.2826086956522,270,253,315,308
57,942.0,116.32590180780451,0.6190304548659262,0.9573170731707317,34.63223427878316,57.924628450106155,1.0,235.0,165.84076433121018,246.0031847133758,150,226,182,265
58,1206.0,128.22539674441617,0.5719706527714745,0.9804878048780488,39.1857996084118,63.287728026534,4.0,223.0,372.8665008291874,155.46600331674958,354,136,391,178
59,914.0,111.49747468305833,0.5071748210590984,0.9723404255319149,34.11364747264559,55.15207877461707,0.0,241.0,161.68599562363238,92.83479212253829,145,77,179,111
60,944.0,112.5685424949238,0.17393343619490167,0.9711934156378601,34.668979365276876,59.02012711864407,1.0,220.0,414.1525423728813,269.77860169491527,397,253,432,288
61,1134.0,126.46803743153546,0.4382918063711991,0.9618320610687023,37.99807421080277,66.11022927689595,2.0,247.0,112.1710758377425,234.14285714285714,94,214,132,255
62,779.0,103.49747468305833,0.6235756434169096,0.9701120797011208,31.493707392885515,102.9961489088575,29.0,223.0,127.27086007702182,184.54300385109113,114,168,143,203
63,1152.0,126.22539674441617,0.6396728087660442,0.9746192893401016,38.298458918537534,44.53559027777778,1.0,178.0,267.0364583333333,418.86631944444446,246,402,290,436
64,1584.0,149.4386001800126,0.6979483489236327,0.9777777777777777,44.90892382211466,48.50568181818182,0.0,199.0,321.8238636363636,239.06123737373738,298,217,347,262
65,2041.0,171.53910524340094,0.6496653559488221,0.976555023923445,50.97726856947582,51.141107300342966,5.0,200.0,207.74816266536013,171.97452229299364,183,147,234,199
66,1225.0,135.0538238691624,0.7556748119261512,0.9745425616547335,39.493270848342945,56.61387755102041,6.0,216.0,387.42285714285714,238.57714285714286,370,216,403,266
67,1249.0,133.29646455628165,0.6475930414661358,0.9712286158631416,39.87826715611172,62.09527622097678,7.0,219.0,193.17213771016813,102.8622898318655,176,81,212,128
68,640.0,91.25483399593904,0.2930053467296063,0.9785932721712538,28.54598585844434,46.84375,3.0,179.0,352.346875,82.1859375,338,69,367,97
69,594.0,91.01219330881975,0.6689446915949383,0.9596122778675282,27.500987065425246,70.71717171717172,7.0,213.0,377.06902356902356,203.63804713804714,365,188,389,220
70,788.0,102.42640687119285,0.2560880880566114,0.9752475247524752,31.675112647807715,56.101522842639596,4.0,213.0,168.96700507614213,279.5532994923858,154,265,186,295
71,1040.0,119.7401153701776,0.6747046457030208,0.9811320754716981,36.38913473173784,61.151923076923076,1.0,220.0,214.91153846153847,130.6596153846154,194,114,235,146
72,659.0,93.25483399593904,0.21984845298341876,0.9748520710059172,28.96661630188228,60.60849772382397,1.0,222.0,292.64339908952957,399.21699544764795,278,385,307,414
73,967.0,116.5685424949238,0.5567561621593917,0.9679679679679679,35.088782249586586,57.553257497414684,4.0,231.0,230.5387797311272,245.7693898655636,212,230,250,263
74,745.0,100.66904755831214,0.4277909893659659,0.9675324675324676,30.798757455905527,57.02147651006712,1.0,251.0,351.82953020134227,211.84563758389262,336,197,368,227
75,687.0,95.74011537017762,0.4544038761339371,0.9800285306704708,29.575590733458846,58.040756914119356,5.0,187.0,113.70014556040756,159.66521106259097,99,146,130,176
76,517.0,82.76955262170047,0.26271255196999754,0.9699812382739212,25.65667251667837,58.684719535783366,8.0,200.0,197.43133462282398,338.8568665377176,185,326,210,352
77,484.0,80.42640687119285,0.43951681456627495,0.969939879759519,24.824341676101277,108.90289256198348,26.0,238.0,131.61363636363637,212.68388429752065,118,201,145,225
78,440.0,77.11269837220809,0.4931821307939021,0.9606986899563319,23.66908109081279,66.80454545454545,3.0,201.0,267.8568181818182,107.94545454545455,256,98,281,120
79,614.0,91.49747468305833,0.5901069107459973,0.9730586370839936,27.96013377055607,66.62866449511401,11.0,208.0,216.72475570032574,291.0309446254072,203,276,231,306
80,643.0,95.25483399593904,0.7132327511841421,0.9654654654654654,28.61281229213077,81.80870917573873,7.0,231.0,174.48678071539658,125.80559875583204,162,110,190,141
81,343.0,67.59797974644665,0.4660650257879599,0.9661971830985916,20.897874625046462,77.29737609329446,14.0,178.0,184.67638483965015,230.56268221574345,175,220,196,243
