id,area_px,perimetro_px,excentricidad,solidez,diametro_equiv,intensidad_media,centroide_x,centroide_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
59,483.0,93.35533905932738,0.9237094482142396,0.9545454545454546,24.798683434954437,107.24016563146998,474.02277432712214,285.15734989648035,466,267,483,306
60,653.0,123.35533905932738,0.9666166659649987,0.9341917024320457,28.834448541840736,100.67534456355283,88.64471669218989,1001.5375191424196,62,994,116,1009
61,162.0,147.89949493661166,0.939388984977201,0.26776859504132233,14.361922094451577,144.3827160493827,943.7962962962963,867.783950617284,919,861,971,875
62,511.0,108.62741699796952,0.9677220714110444,0.9290909090909091,25.507359866510456,137.92954990215264,447.26223091976516,759.9197651663405,424,754,471,767
63,625.0,135.09545442950497,0.9788722972378502,0.9018759018759018,28.209479177387816,128.6208,85.1184,837.0304,59,819,110,856
64,785.0,154.46803743153546,0.9745301679309014,0.8228511530398323,31.614759885488656,169.74267515923566,144.52101910828026,30.457324840764333,132,0,162,61
65,569.0,113.1543289325507,0.9537166029337765,0.9327868852459016,26.916041702938184,170.9560632688928,262.1353251318102,10.9402460456942,238,0,283,25
66,469.0,138.18376618407356,0.979131018170882,0.7713815789473685,24.436639426909572,163.82942430703625,109.41791044776119,4.810234541577826,71,0,132,15
67,459.0,104.5685424949238,0.9652618591305339,0.9017681728880157,24.17471718621419,133.27668845315904,153.67320261437908,781.8082788671024,134,769,174,795
68,712.0,138.66904755831212,0.9671846494018015,0.8212226066897347,30.10891156869401,162.52247191011236,131.21488764044943,57.47050561797753,104,48,162,70
69,457.0,91.79898987322333,0.9381614198435485,0.9785867237687366,24.121991458915023,93.38293216630197,487.05908096280086,307.61925601750545,481,289,494,327
70,401.0,79.45584412271572,0.8280360349071748,0.9616306954436451,22.595775212167435,44.86533665835412,1016.219451371571,948.2668329177058,1007,934,1024,964
71,440.0,93.55634918610404,0.9482788282370771,0.9565217391304348,23.66908109081279,163.4227272727273,18.006818181818183,269.45681818181816,0,263,39,276
72,622.0,124.42640687119285,0.9701096240430294,0.9174041297935103,28.14169498849121,173.4855305466238,321.9389067524116,19.233118971061092,296,10,350,29
73,627.0,142.90559159102156,0.9717172001883295,0.76,28.254578293596012,105.84848484848484,62.864433811802236,1014.555023923445,37,1006,106,1024
74,950.0,170.71067811865476,0.9706815624779352,0.7704785077047851,34.77898169151024,144.54842105263157,323.1421052631579,731.8284210526316,286,722,358,746
75,56.0,39.65685424949238,0.9591378288093015,0.08709175738724728,8.444016491289505,181.76785714285714,855.375,423.44642857142856,830,418,882,433
76,918.0,195.23759005323595,0.9799294363843593,0.6825278810408922,34.18821291127805,144.40196078431373,258.9052287581699,296.30501089324616,221,271,295,314
77,296.0,178.42031021678298,0.9405401511951063,0.45190839694656487,19.413369239820483,163.53040540540542,806.9594594594595,450.7871621621622,783,442,834,458
78,2069.0,381.4629867976521,0.9736099278039325,0.6869189907038512,51.325750048655415,106.15418076365394,957.2460125664572,865.0024166263895,901,843,1016,898
79,653.0,131.25483399593904,0.9745286665272666,0.8812415654520918,28.834448541840736,167.49617151607964,363.45176110260337,50.69218989280245,337,41,392,62
80,1050.0,242.5685424949238,0.9906298748515611,0.7109004739336493,36.56366395715726,119.71047619047619,842.36,443.36857142857144,781,434,888,454
81,595.0,141.56244584051393,0.9806990637963576,0.36728395061728397,27.524126309792685,127.79159663865546,851.8100840336134,425.22857142857146,770,418,881,442
82,518.0,107.21320343559641,0.9549998575622256,0.9452554744525548,25.68147355921802,104.62548262548262,110.78378378378379,1016.573359073359,87,1010,133,1024
83,652.0,132.76955262170046,0.977720635220406,0.8822733423545331,28.812361638146328,142.85582822085888,798.6503067484663,435.00766871165644,771,427,828,446
